,city,latitude,Longitude,Temperature Max,Humidity,Cloudiness,Wind Speed,Country
367,rancho mirage,33.7397,-116.4128,21.67,35,1,5.14,US
368,qasigiannguit,68.8193,-51.1922,9.0,43,75,12.35,GL
369,boysun,38.2061,67.1986,21.34,28,53,0.97,UZ
370,iroquois falls,48.7669,-80.6831,-9.0,92,1,1.54,CA
371,san carlos de bariloche,-41.1456,-71.3082,8.33,81,0,2.06,AR
372,high level,58.5169,-117.136,4.0,48,75,4.63,CA
373,acarau,-2.8856,-40.12,24.95,84,8,3.67,BR
374,camopi,3.1655,-52.3158,22.36,99,100,0.49,GF
375,petropavlovsk-kamchatskiy,53.0452,158.6483,3.0,100,90,5.0,RU
376,jahanabad,25.2167,84.9833,34.0,16,20,3.44,IN
377,eldorado,-23.7869,-54.2836,15.99,89,96,1.72,BR
378,dolores,-36.3132,-57.6792,9.78,92,0,2.89,AR
379,balkanabat,39.5108,54.3671,25.49,27,5,1.83,TM
380,telenesti,47.4997,28.3656,4.0,87,90,4.12,MD
381,eureka,40.8021,-124.1637,10.0,81,81,1.65,US
382,north bend,43.4065,-124.2243,9.0,87,90,1.54,US
383,cesena,44.1391,12.2432,13.33,93,0,1.03,IT
384,pereleshinskiy,51.7148,40.1953,5.0,75,0,2.0,RU
385,winnemucca,40.973,-117.7357,6.0,75,90,4.63,US
386,misratah,32.3754,15.0925,16.05,86,18,4.91,LY
387,rio verde de mato grosso,-18.9181,-54.8442,20.54,94,100,2.34,BR
388,lorengau,-2.0226,147.2712,29.64,66,92,1.02,PG
389,meulaboh,4.1363,96.1285,29.63,63,92,1.6,ID
390,la ronge,55.1001,-105.2842,1.0,59,100,4.12,CA
391,whitianga,-36.8333,175.7,17.78,67,38,2.68,NZ
392,russell,32.3502,-85.1999,16.0,87,1,2.31,US
393,egvekinot,66.3167,-179.1667,-1.64,89,15,0.19,RU
394,autun,46.95,4.3,12.0,50,0,3.09,FR
395,kawalu,-7.3817,108.2082,30.67,54,22,1.72,ID
396,yulara,-25.2406,130.9889,25.0,20,0,5.14,AU
397,san patricio,28.017,-97.5169,24.0,83,40,4.12,US
398,hasaki,35.7333,140.8333,18.89,26,20,4.63,JP
399,mount isa,-20.7333,139.5,32.0,31,40,4.12,AU
400,loharu,28.45,75.8167,34.18,6,0,2.3,IN
401,saint-joseph,-21.3667,55.6167,26.0,69,0,8.23,RE
402,nenjiang,49.1833,125.2167,17.62,19,100,9.56,CN
403,morros,-9.4467,-46.3003,22.16,89,100,0.59,BR
404,sturgeon falls,46.3646,-79.9326,-0.56,63,20,7.2,CA
405,ulaanbaatar,47.9077,106.8832,-1.0,74,75,13.0,MN
406,limbang,4.75,115.0,32.0,66,75,2.57,MY
407,coahuayana,18.7333,-103.6833,22.41,87,84,0.66,MX
408,navalcarnero,40.2891,-4.012,12.78,100,75,0.64,ES
409,talnakh,69.4865,88.3972,-12.02,85,98,3.87,RU
410,san jorge,-31.8962,-61.8598,10.56,84,0,0.54,AR
411,bonthe,7.5264,-12.505,26.95,83,98,3.19,SL
412,sines,37.9562,-8.8698,14.44,88,93,3.58,PT
413,acajutla,13.5928,-89.8275,22.78,93,100,2.4,SV
414,nuuk,64.1835,-51.7216,3.0,87,75,2.57,GL
415,dicabisagan,17.0818,122.4157,26.36,74,61,3.95,PH
416,araouane,18.9048,-3.5265,29.53,16,24,1.27,ML
417,waipawa,-41.4122,175.5153,16.0,48,14,6.17,NZ
